Timestamp,¿Quién decide habitualmente qué se come en tu hogar?,Pensando en la última semana: ¿cómo se decidió qué comer cada día en tu hogar?,"En el último mes, ¿con qué frecuencia te pasó de llegar a la hora de cocinar sin saber qué preparar?",¿Con qué frecuencia sientes que en tu hogar se repiten siempre las mismas comidas?,¿Qué usas hoy para organizar las comidas o las compras de tu hogar?,"Si usas una app específica de comidas o listas, ¿cuál?","En el último mes, ¿usaste ChatGPT u otra IA para pedir ideas de comidas o armar un menú?","¿Alguna vez descargaste una app para planificar comidas, recetas o listas de compras? ¿Qué pasó con ella?",¿Con qué frecuencia se compran alimentos en tu hogar?,¿Dónde se compran los alimentos de tu hogar?,"Antes de ir a comprar, ¿qué haces normalmente?","¿Qué es lo más difícil de resolver las comidas de tu hogar, semana a semana?",¿Quiénes viven en tu hogar?,¿En qué país vives?
7/27/2026 13:05:51,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador)",,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos universitarios o jóvenes adultos,Perú
7/27/2026 13:05:52,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista","decidir el menu, que sea variado y que sea balanceado y que sea llamativo para las loncheras de las niñas ","Con mi pareja, Con hijos en edad escolar",Colombia
7/27/2026 13:05:56,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Una app específica de comidas o listas",Cookidoo,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",plan para no comer siempre lo mismo,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:05:57,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Aproximadamente una vez por semana,Con frecuencia,Solo la memoria,,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Brasil
7/27/2026 13:06:04,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Aproximadamente una vez por semana,Con frecuencia,lista de compras en keep,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",Que cocinar,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:06:13,Principalmente yo,"Se decidió el mismo día, unas horas antes",Casi todos los días,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,Tienda de barrio / almacén / minimarket,"Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:06:17,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria",No llevo lista: decido en el lugar,pensar platos sin repetir,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:06:17,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,"Solo la memoria, Improvisamos con la comida del domingo",No,"Sí, todas las semanas",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",No repetir tanto,Con mi pareja,Chile
7/27/2026 13:06:18,Principalmente yo,Se decidió el día anterior,1 o 2 veces en el mes,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",el menu,Vivo solo/a,Colombia
7/27/2026 13:06:21,Principalmente yo,Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",saber que cocinar,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:06:32,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),WhatsApp,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",validar lo que hay en la despensa,Con hijos universitarios o jóvenes adultos,Centroamérica
7/27/2026 13:06:40,"Yo, compartido con otra persona",Había un plan completo para toda la semana,Aproximadamente una vez por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",La usé un tiempo y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Fundamentalmente, el tiempo. Ambos trabajamos full remoto, pero eso lleva (a veces) a trabajar mas + OTs ",Con mi pareja,Argentina
7/27/2026 13:06:46,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Variar las comidas y que sean nutritivas,Con hijos en edad escolar,Argentina
7/27/2026 13:06:47,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Notas del celular,,"Lo probé alguna vez, pero no seguí",La usé un tiempo y la dejé,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",Elegir el menú diario. Especialmente porque debo considerar comida para diabético,Con mi pareja,Argentina
7/27/2026 13:07:02,"Yo, compartido con otra persona",Había un plan para varios días de la semana,1 o 2 veces en el mes,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),No uso,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista","No hay mucho que resolver realmente, es algo que se hace cotidianamente","Con mi pareja, Con hijos universitarios o jóvenes adultos",México
7/27/2026 13:07:05,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Llevo una lista de lo de siempre, sin revisar mucho",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:07:11,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista, Mercado o feria","Llevo una lista de lo de siempre, sin revisar mucho",Que hay en la nevera,Con hijos en edad escolar,Ecuador
7/27/2026 13:07:13,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Llevo una lista de lo de siempre, sin revisar mucho",,Con hijos en edad escolar,Uruguay
7/27/2026 13:07:18,"Yo, compartido con otra persona",Había un plan para varios días de la semana,Varias veces por semana,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",No llevo lista: decido en el lugar,el pienso,Con mi pareja,Uruguay
7/27/2026 13:07:30,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",La usé un tiempo y la dejé,Una vez por semana,Mercado o feria,No llevo lista: decido en el lugar,que se malogren cosas,Con mi pareja,Perú
7/27/2026 13:08:14,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Casi siempre,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",X,Con mi pareja,Argentina
7/27/2026 13:08:17,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",No llevo lista: decido en el lugar,,Vivo solo/a,Argentina
7/27/2026 13:08:23,Principalmente yo,"Se decidió el mismo día, unas horas antes",Casi todos los días,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Encontrar una variedad, cuando los comensales tienen gustos acotados y quiero hacer una comida para todos",Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:08:46,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"Sí, algunas veces en el mes",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Chile
7/27/2026 13:09:07,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,A veces,Solo la memoria,No,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista","Reviso qué hay y qué falta en casa, y armo una lista",que esté todo lo necesario para prepararlo,Con otros familiares,Colombia
7/27/2026 13:10:34,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,A veces,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",Cocinar sano y rapido,"Con mi pareja, Con hijos en edad escolar",México
7/27/2026 13:11:09,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Casi siempre,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Ideas de que cocinar,Con mi pareja,Argentina
7/27/2026 13:11:21,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Casi siempre,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:11:26,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Casi todos los días,Con frecuencia,Solo la memoria,,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",No llevo lista: decido en el lugar,,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:11:59,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,Supermercado,No llevo lista: decido en el lugar,,Con mi pareja,España
7/27/2026 13:12:14,Principalmente yo,Se decidió el día anterior,Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Calcular que las comidas sean ricas en macronutrientes y cómo intercalarlo con otras comidas de la semana,Vivo solo/a,Argentina
7/27/2026 13:12:22,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Casi siempre,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Cocinar comida saludable y deliciosa. ,"Con mi pareja, Con otros familiares",Colombia
7/27/2026 13:12:32,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,"ChatGPT u otra inteligencia artificial, Solo la memoria",,"Sí, todas las semanas",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Mayorista, Verdulería, carnicería u otros comercios especializados","Llevo una lista de lo de siempre, sin revisar mucho",,Con hijos en edad escolar,Argentina
7/27/2026 13:12:56,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Sin un patrón fijo,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Colombia
7/27/2026 13:13:16,"Yo, compartido con otra persona",Había un plan para varios días de la semana,Aproximadamente una vez por semana,Casi siempre,"Lista en papel (cuaderno, imán en el refrigerador), Planilla (Excel, Google Sheets)",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","pensar variedad de comidas y que no lleve mucho tiempo cocinar, además soy vegetariana",Con mi pareja,Argentina
7/27/2026 13:13:16,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",La probé unos días y la dejé,Una vez por semana,"Supermercado, Mercado o feria",Compro cuando me doy cuenta de que algo faltó,,"Con mi pareja, Con hijos en edad escolar, Con otros familiares",Uruguay
7/27/2026 13:13:17,Principalmente yo,"Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,Con frecuencia,"Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,"Vivo solo/a, Con mi pareja",Chile
7/27/2026 13:14:25,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:16:12,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket","Llevo una lista de lo de siempre, sin revisar mucho",,Vivo solo/a,Chile
7/27/2026 13:16:54,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:17:07,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:17:33,"Yo, compartido con otra persona",Había un plan completo para toda la semana,Aproximadamente una vez por semana,A veces,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",evitar repetir recetas con frecuencia,Con mi pareja,México
7/27/2026 13:17:38,"Yo, compartido con otra persona",Se decidió el día anterior,Nunca,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador)",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",QUE PLATILLO HACER,"Con mi pareja, Con hijos universitarios o jóvenes adultos",México
7/27/2026 13:19:38,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,Una app específica de comidas o listas,Listonic,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,"Mayorista, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Variedad, problemas alimenticios, Celiaquia y gustos de los 5","Con mi pareja, Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:19:56,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Casi todos los días,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos universitarios o jóvenes adultos",México
7/27/2026 13:20:23,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Sí, algunas veces en el mes",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",Compro cuando me doy cuenta de que algo faltó,,Con hijos en edad escolar,Argentina
7/27/2026 13:20:36,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Tiempo disponible, no tener variedad de recetas ni variedad de ingredientes",Con otros familiares,México
7/27/2026 13:21:09,Principalmente yo,Había un plan completo para toda la semana,Aproximadamente una vez por semana,Casi siempre,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:21:17,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Casi siempre,"Notas del celular, Solo la memoria",Google Keep,"No, nunca lo usé para eso",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista","Planificar el día antes para saber que descongelar para el dia siguiente cocinar, y si no se hace eso entonces al estar congelado se cae en recetas rápidas o delivery. O cuando estoy cansado, si no hay planeado que cocinar se cae en pedir delivery por no querer pensar.",Con mi pareja,Paraguay
7/27/2026 13:22:09,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",1 o 2 veces en el mes,Con frecuencia,"Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:22:43,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Casi todos los días,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Saber que quieren comer,"Con mi pareja, Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:23:18,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Chile
7/27/2026 13:25:38,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:28:55,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular",,"Sí, algunas veces en el mes",La usé un tiempo y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:29:11,Principalmente yo,Había un plan para varios días de la semana,Nunca,Casi siempre,Servicio de viandas saludables,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",No hay problema,Vivo solo/a,Argentina
7/27/2026 13:33:00,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), ChatGPT u otra inteligencia artificial, Solo la memoria",,"Sí, algunas veces en el mes",La probé unos días y la dejé,Una vez por semana,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, dietética","Reviso qué hay y qué falta en casa, y armo una lista",Planificar con anticipación manteniendo variabilidad de menú e introduciendo alternativas neuvas,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:39:26,Principalmente yo,Había un plan para varios días de la semana,Aproximadamente una vez por semana,Con frecuencia,Notas del celular,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:40:27,Principalmente yo,"Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Diversidad y cantidad,"Con mi pareja, Con hijos en edad escolar",Costa Rica
7/27/2026 13:41:09,Principalmente yo,Se decidió el día anterior,Casi todos los días,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",no saber que hacer con lo que ya tengo,"Con mi pareja, Con hijos en edad escolar",Centroamérica
7/27/2026 13:43:09,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:43:27,"Yo, compartido con otra persona",Se decidió el día anterior,1 o 2 veces en el mes,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Mercado o feria, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",Saber que cocinar,"Con hijos en edad escolar, Con otros familiares",Perú
7/27/2026 13:43:45,Principalmente yo,Había un plan para varios días de la semana,Aproximadamente una vez por semana,A veces,Notas del celular,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:46:12,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Nunca,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Como somos solo dos para cenar no es muy complicado, sobre todo porque ya tenemos hechas las compras quincenalmente Por ahi se complica cuando ya se estan terminando las provisiones. Señal que hay que hacer una nueva compra. ",Con mi pareja,Argentina
